

1788082964.165483398  Node Startup
1788083006.386810064 INFO /performance_monitor [performance_monitor.py:368(PerformanceMonitor.benchmark_fps)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running FPS benchmark...
1788083006.828993797 INFO /performance_monitor [performance_monitor.py:425(PerformanceMonitor.benchmark_memory)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running memory benchmark...
1788083006.961075305 INFO /performance_monitor [performance_monitor.py:401(PerformanceMonitor.benchmark_cpu)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running CPU benchmark...
1788083007.107773065 INFO /performance_monitor [performance_monitor.py:401(PerformanceMonitor.benchmark_cpu)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running CPU benchmark...
1788083007.119104623 INFO /performance_monitor [performance_monitor.py:113(PerformanceMonitor.start_monitoring)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Performance monitoring started
1788083008.137448549 INFO /performance_monitor [performance_monitor.py:368(PerformanceMonitor.benchmark_fps)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running FPS benchmark...
1788083008.275271892 INFO /performance_monitor [performance_monitor.py:461(PerformanceMonitor.benchmark_network)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running network benchmark...
1788083008.922898530 INFO /performance_monitor [performance_monitor.py:401(PerformanceMonitor.benchmark_cpu)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running CPU benchmark...
1788083009.190451145 INFO /performance_monitor [performance_monitor.py:401(PerformanceMonitor.benchmark_cpu)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running CPU benchmark...
1788083009.309091567 INFO /performance_monitor [performance_monitor.py:113(PerformanceMonitor.start_monitoring)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Performance monitoring started
1788083009.490097999 INFO /performance_monitor [performance_monitor.py:507(PerformanceMonitor.benchmark_application)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running application benchmark...
1788083010.159351348 INFO /performance_monitor [performance_monitor.py:368(PerformanceMonitor.benchmark_fps)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running FPS benchmark...
1788083010.405821084 WARN /mission_manager [tcpros_base.py:356(TCPROSServer._tcp_server_callback)] [topics: /mission_status, /tracked_targets, /mission_manager/node_health, /safety_status, /drone_control/command, /rosout] Could not process inbound connection: topic types do not match: [std_msgs/String] vs. [drone_control/MissionStatus]{'callerid': '/trajectory_planner', 'md5sum': '992ce8a1687cec8c8bd883ec73ca41d1', 'message_definition': 'string data\n', 'tcp_nodelay': '0', 'topic': '/mission_status', 'type': 'std_msgs/String'}
1788083010.409624099 INFO /trajectory_planner [trajectory_planner.py:90(TrajectoryPlanner.__init__)] [topics: /tracked_targets, /waypoints, /rosout, /path, /mission_status, /planner_status, /mavros/local_position/odom, /planned_trajectory] Trajectory Planner initialized
1788083011.131413698 INFO /performance_monitor [performance_monitor.py:401(PerformanceMonitor.benchmark_cpu)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running CPU benchmark...
1788083011.357039928 INFO /performance_monitor [performance_monitor.py:360(PerformanceMonitor.run_benchmark)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Benchmark completed with overall score: 0.53
1788083011.397320032 INFO /performance_monitor [performance_monitor.py:113(PerformanceMonitor.start_monitoring)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Performance monitoring started
1788083011.467238903 INFO /performance_monitor [performance_monitor.py:368(PerformanceMonitor.benchmark_fps)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running FPS benchmark...
1788083011.528452873 INFO /performance_monitor [performance_monitor.py:401(PerformanceMonitor.benchmark_cpu)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running CPU benchmark...
1788083011.557985544 INFO /performance_monitor [performance_monitor.py:425(PerformanceMonitor.benchmark_memory)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running memory benchmark...
1788083012.074153184 INFO /performance_monitor [performance_monitor.py:425(PerformanceMonitor.benchmark_memory)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running memory benchmark...
1788083012.133620738 INFO /performance_monitor [performance_monitor.py:368(PerformanceMonitor.benchmark_fps)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running FPS benchmark...
1788083013.248928785 INFO /performance_monitor [performance_monitor.py:401(PerformanceMonitor.benchmark_cpu)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running CPU benchmark...
1788083013.350756406 INFO /performance_monitor [performance_monitor.py:113(PerformanceMonitor.start_monitoring)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Performance monitoring started
1788083014.127780199 INFO /performance_monitor [performance_monitor.py:368(PerformanceMonitor.benchmark_fps)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running FPS benchmark...
1788083015.209139108 INFO /performance_monitor [performance_monitor.py:461(PerformanceMonitor.benchmark_network)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running network benchmark...
1788083015.300234556 INFO /performance_monitor [performance_monitor.py:401(PerformanceMonitor.benchmark_cpu)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running CPU benchmark...
1788083015.424095392 INFO /performance_monitor [performance_monitor.py:113(PerformanceMonitor.start_monitoring)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Performance monitoring started
1788083015.916568517 INFO /performance_monitor [performance_monitor.py:461(PerformanceMonitor.benchmark_network)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running network benchmark...
1788083016.285037040 INFO /performance_monitor [performance_monitor.py:425(PerformanceMonitor.benchmark_memory)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running memory benchmark...
1788083016.495417118 INFO /performance_monitor [performance_monitor.py:368(PerformanceMonitor.benchmark_fps)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running FPS benchmark...
1788083016.592174291 INFO /performance_monitor [performance_monitor.py:425(PerformanceMonitor.benchmark_memory)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running memory benchmark...
1788083016.736777544 INFO /performance_monitor [performance_monitor.py:401(PerformanceMonitor.benchmark_cpu)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running CPU benchmark...
1788083017.390949487 INFO /performance_monitor [performance_monitor.py:401(PerformanceMonitor.benchmark_cpu)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running CPU benchmark...
1788083017.818249464 INFO /performance_monitor [performance_monitor.py:113(PerformanceMonitor.start_monitoring)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Performance monitoring started
1788083018.443482398 INFO /performance_monitor [performance_monitor.py:368(PerformanceMonitor.benchmark_fps)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running FPS benchmark...
1788083019.142877101 INFO /performance_monitor [performance_monitor.py:507(PerformanceMonitor.benchmark_application)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running application benchmark...
1788083019.242251157 INFO /performance_monitor [performance_monitor.py:401(PerformanceMonitor.benchmark_cpu)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running CPU benchmark...
1788083019.522503376 INFO /performance_monitor [performance_monitor.py:113(PerformanceMonitor.start_monitoring)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Performance monitoring started
1788083020.674436330 INFO /performance_monitor [performance_monitor.py:368(PerformanceMonitor.benchmark_fps)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running FPS benchmark...
1788083021.557773351 INFO /performance_monitor [performance_monitor.py:113(PerformanceMonitor.start_monitoring)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Performance monitoring started
1788083021.669888496 INFO /performance_monitor [performance_monitor.py:401(PerformanceMonitor.benchmark_cpu)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running CPU benchmark...
1788083022.031741380 INFO /performance_monitor [performance_monitor.py:425(PerformanceMonitor.benchmark_memory)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running memory benchmark...
1788083022.828661918 INFO /performance_monitor [performance_monitor.py:368(PerformanceMonitor.benchmark_fps)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running FPS benchmark...
1788083023.026429653 INFO /performance_monitor [performance_monitor.py:461(PerformanceMonitor.benchmark_network)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running network benchmark...
1788083023.812030792 INFO /performance_monitor [performance_monitor.py:113(PerformanceMonitor.start_monitoring)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Performance monitoring started
1788083024.201470375 INFO /performance_monitor [performance_monitor.py:401(PerformanceMonitor.benchmark_cpu)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running CPU benchmark...
1788083024.398380041 INFO /performance_monitor [performance_monitor.py:461(PerformanceMonitor.benchmark_network)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running network benchmark...
1788083024.832719802 INFO /performance_monitor [performance_monitor.py:425(PerformanceMonitor.benchmark_memory)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running memory benchmark...
